"path","sha256","bytes","touches_lowcode_pages","contains_full_schema_upsert"
"supabase-migrations/20260808200000_lowcode_form_definitions.sql","261ffa366fc23953e028e031fd3c6f3474230365159a4037385c1830e83c08c7","36779","False","True"
"supabase-migrations/20260808210000_entity_design_load_physical_tables_form.sql","fdd9c0d57f9d6f17d67ff780aff2afd80acfb6b9af0b75e18363f699f684ac43","2376","False","True"
"supabase-migrations/20260808220000_fix_sales_order_edit_page.sql","1b22e5f5cc3816ad64d3ec85c093c9bd2b68317256a55240f4049be0ec95c981","29784","True","True"
"supabase-migrations/20260809100000_fix_sales_order_list_page_type.sql","1c963ab5329b51e1016e381116f95a4525f2c3f9b8dbda5cf4945c3099661a05","2026","True","True"
"supabase-migrations/20260809110000_dynamic_grid_association_options.sql","d31f2ccc36786ecba51b39e579ef20378588bcd39beb13a314711a5ced54446f","4843","True","False"
"supabase-migrations/20260809120000_planning_console.sql","f2fb44d0594026db88e62808d2b90abb1ba06c8b49c29c5d688bbf9c7ec5ea15","120430","True","True"
"supabase-migrations/20260809150000_lowcode_page_management_dynamic_route.sql","4f89c1f776f3aa2de0afd547df36d895bca1842c2650020e578f0fabae4d2c9e","6056","True","False"
"supabase-migrations/20260809160000_material_property_form_tabs.sql","0cd49d591b2b7520128c13e9db103b93e691adfa500e82ce5dc3c6cc07e071b0","23846","False","True"
"supabase-migrations/20260809180000_canonical_sub_form_schema.sql","cc7a65d669971785458e7eefe87f28097867aa94d97f451cb53a1f55a8341dfc","8634","True","True"
"supabase-migrations/20260809200000_grid_load_data_action.sql","e08ff1e267f1f5b17df4f8c36516ef1ac3c71998f0cfb8f76c2b74f64946fa9a","6705","True","True"
"supabase-migrations/20260809210000_lowcode_page_relation_names.sql","0330c649549899165d2237811ca34da48dec876de689861ae8701b4dab79414c","12981","True","False"
"supabase-migrations/20260810100000_planning_console_inner_tabs.sql","3285816121e0ebec856832775c2421efe4707697dc7467c7ee8c54c9570b7fa3","15639","True","True"
"supabase-migrations/20260810110000_unify_sales_order_status.sql","ce0f7d70d12bdf804ec4617bf822e88c0b8be844c860a33153a21c87d0d57edd","18143","True","True"
"supabase-migrations/20260810140000_planning_console_grid_tables.sql","70f8628ddd05cd92a4a3cf48d2ba7feebf0bb267ae7a0f259a97d57177c85516","4220","True","True"
"supabase-migrations/20260810150000_lowcode_grid_table_associations.sql","8d0500d4243d7aba3d29cc78d6dbfbe0e7675eed31be0e55d045065ffa73b619","11859","True","True"
"supabase-migrations/20260810181000_planning_console_script_context_forward_fix.sql","067831a7d7351eeea459bf0cf84c9457f5558dc9ce2149e57d4d128b6f88791b","1628","True","True"
"supabase-migrations/20260810190000_repair_invalid_lowcode_page_blocks.sql","df3211c14834db9bc8850a46df375db67b447edf327a23363136aeb56223b4e7","2338","True","False"
"supabase-migrations/20260810210000_planning_master_categories.sql","17ba7960964e3ec8a786e3e54d3f8fe06c260c6b89fabbd4c2b1f373670583b7","109260","True","True"
"supabase-migrations/20260811120000_planning_structure_pages.sql","4ad34941b8f944f2728e0cf6c3d8c8d95b41bc925d7bfbb036cd4a68825a4b2b","21225","True","True"
"supabase-migrations/20260811150000_sales_order_edit_form_log_button.sql","fe4e4944c3e579886ae50a6fec1a9ab005c8f6dc4d8903499f3ed99dfed184a0","2807","True","True"
"supabase-migrations/20260811160000_runtime_form_field_editor.sql","dc3ec4562dbab17f5e231197b849a681a6be5cca49a9faa27250cb8511b1b1e4","11323","False","True"
"supabase-migrations/20260811190000_mes_lowcode_pages.sql","4e5fa2791798792b118dcf45e5bcbe339bf4b318a1d0a349ae887bfff14adfe3","68682","True","True"
