"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "Vue", "SCSS", "JSON", "Markdown", "comment", "blank", "total"
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\button-group\index.vue", "Vue", 0, 0, 0, 314, 0, 0, 0, 0, 36, 350
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\container\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\container\index.vue", "Vue", 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\defaults.ts", "TypeScript", 308, 0, 0, 0, 0, 0, 0, 0, 19, 327
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\detail\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\detail\index.vue", "Vue", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\drawer\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\drawer\index.vue", "Vue", 0, 0, 0, 34, 0, 0, 0, 0, 3, 37
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\form\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\form\index.vue", "Vue", 0, 0, 0, 185, 0, 0, 0, 0, 15, 200
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\grid\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\grid\index.vue", "Vue", 0, 0, 0, 463, 0, 0, 0, 0, 44, 507
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\grid\page-grid-menu.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 6, 88
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\grid\runtime-grid-designer.ts", "TypeScript", 305, 0, 0, 0, 0, 0, 0, 0, 33, 338
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\grid\runtime-grid-field-editor.ts", "TypeScript", 318, 0, 0, 0, 0, 0, 0, 3, 33, 354
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\helpers.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 0, 16, 126
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\index.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 14, 71
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\modal\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\modal\index.vue", "Vue", 0, 0, 0, 125, 0, 0, 0, 0, 12, 137
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\planning-bom\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\planning-bom\index.vue", "Vue", 0, 0, 0, 597, 0, 0, 0, 0, 60, 657
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\planning-flow\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\planning-flow\index.vue", "Vue", 0, 0, 0, 839, 0, 0, 0, 0, 64, 903
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\planning-gantt\GanttDisplaySettings.vue", "Vue", 0, 0, 0, 91, 0, 0, 0, 0, 8, 99
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\planning-gantt\display-settings.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 6, 55
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\planning-gantt\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\planning-gantt\index.vue", "Vue", 0, 0, 0, 426, 0, 0, 0, 0, 33, 459
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\runtime-form-designer.ts", "TypeScript", 247, 0, 0, 0, 0, 0, 0, 0, 29, 276
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\runtime-form-field-editor.ts", "TypeScript", 399, 0, 0, 0, 0, 0, 0, 0, 34, 433
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\runtime-form-relation-options.ts", "TypeScript", 422, 0, 0, 0, 0, 0, 0, 0, 42, 464
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\search-form\index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\search-form\index.vue", "Vue", 0, 0, 0, 166, 0, 0, 0, 0, 13, 179
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\section\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\section\index.vue", "Vue", 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\stat-card\index.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\stat-card\index.vue", "Vue", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\tabs\index.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\tabs\index.vue", "Vue", 0, 0, 0, 64, 0, 0, 0, 0, 6, 70
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\text\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\text\index.vue", "Vue", 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\toolbar\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\toolbar\index.vue", "Vue", 0, 0, 0, 93, 0, 0, 0, 0, 7, 100
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\tree\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\tree\index.vue", "Vue", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"e:\enLearn\packages\lowcode-framework\src\lowcode\block-materials\types.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 7, 90
"e:\enLearn\packages\lowcode-framework\src\lowcode\builtin-pages\index.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"e:\enLearn\packages\lowcode-framework\src\lowcode\event-system.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 11, 82
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-definition-loader.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\base-info\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\base-info\index.vue", "Vue", 0, 0, 0, 746, 0, 0, 0, 0, 68, 814
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\base-info\relate-info.ts", "TypeScript", 286, 0, 0, 0, 0, 0, 0, 0, 44, 330
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\index.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\index.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 14, 66
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-array-table\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-array-table\index.vue", "Vue", 0, 0, 0, 1373, 0, 0, 0, 0, 185, 1558
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-cascader\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-cascader\index.vue", "Vue", 0, 0, 0, 32, 0, 0, 0, 0, 6, 38
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-color-picker\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-color-picker\index.vue", "Vue", 0, 0, 0, 36, 0, 0, 0, 0, 7, 43
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-json-editor\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-json-editor\index.vue", "Vue", 0, 0, 0, 300, 0, 0, 0, 0, 46, 346
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-json-editor\index.vue.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-monaco-editor\index.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-monaco-editor\index.vue", "Vue", 0, 0, 0, 640, 0, 0, 0, 0, 62, 702
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-number-input\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-number-input\index.vue", "Vue", 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-option-select\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-option-select\index.vue", "Vue", 0, 0, 0, 78, 0, 0, 0, 0, 16, 94
"e:\enLearn\packages\lowcode-framework\src\lowcode\form-materials\lc-sub-form\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
