"filename", "language", "TypeScript", "JSON with Comments", "YAML", "JSON", "Vue", "Markdown", "CSS", "HTML", "JavaScript", "TypeScript JSX", "Skill", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"e:\enLearn\packages\chat-widget\src\types\chat.ts", "TypeScript", -79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -88
"e:\enLearn\packages\chat-widget\tsconfig.json", "JSON with Comments", 0, -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -31
"e:\enLearn\packages\gantt-main\.prettierrc", "JSON", 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18
"e:\enLearn\packages\gantt-main\docs\.skill\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -694, 0, 0, -1, -140, -835
"e:\enLearn\packages\gantt-main\docs\vue3-refactor.md", "Markdown", 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, 0, 0, 0, 0, -9, -42
"e:\enLearn\packages\gantt-main\eslint.config.ts", "TypeScript", -45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -47
"e:\enLearn\packages\gantt-main\locales\index.ts", "TypeScript", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3
"e:\enLearn\packages\gantt-main\locales\locales\cn.ts", "TypeScript", -65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -5, -75
"e:\enLearn\packages\gantt-main\locales\locales\en.ts", "TypeScript", -65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -5, -75
"e:\enLearn\packages\gantt-main\locales\package.json", "JSON", 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -22
"e:\enLearn\packages\gantt-main\locales\readme.md", "Markdown", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6
"e:\enLearn\packages\gantt-main\locales\tsconfig.json", "JSON with Comments", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -16
"e:\enLearn\packages\gantt-main\package.json", "JSON", 0, 0, 0, -72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -73
"e:\enLearn\packages\gantt-main\provider\package.json", "JSON", 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -25
"e:\enLearn\packages\gantt-main\provider\readme.md", "Markdown", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6
"e:\enLearn\packages\gantt-main\provider\src\RestDataProvider.ts", "TypeScript", -257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -279
"e:\enLearn\packages\gantt-main\provider\src\index.ts", "TypeScript", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"e:\enLearn\packages\gantt-main\provider\test\provider-contract.spec.ts", "TypeScript", -70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -80
"e:\enLearn\packages\gantt-main\provider\test\provider.spec.ts", "TypeScript", -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -15
"e:\enLearn\packages\gantt-main\provider\tsconfig.json", "JSON with Comments", 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -23
"e:\enLearn\packages\gantt-main\provider\vite.config.ts", "TypeScript", -40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -46
"e:\enLearn\packages\gantt-main\readme.md", "Markdown", 0, 0, 0, 0, 0, -56, 0, 0, 0, 0, 0, 0, 0, 0, -17, -73
"e:\enLearn\packages\gantt-main\scripts\run-eslint.ts", "TypeScript", -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -22
"e:\enLearn\packages\gantt-main\store\package.json", "JSON", 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -29
"e:\enLearn\packages\gantt-main\store\readme.md", "Markdown", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6
"e:\enLearn\packages\gantt-main\store\src\DataStore.ts", "TypeScript", -2012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -59, -207, -2278
"e:\enLearn\packages\gantt-main\store\src\GanttDataTree.ts", "TypeScript", -176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -188
"e:\enLearn\packages\gantt-main\store\src\columns.ts", "TypeScript", -136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -160
"e:\enLearn\packages\gantt-main\store\src\dom\formPost.ts", "TypeScript", -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -22
"e:\enLearn\packages\gantt-main\store\src\dom\scales.ts", "TypeScript", -43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8, -52
"e:\enLearn\packages\gantt-main\store\src\helpers\actionHandlers.ts", "TypeScript", -198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -21, -230
"e:\enLearn\packages\gantt-main\store\src\helpers\area.ts", "TypeScript", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -23
"e:\enLearn\packages\gantt-main\store\src\helpers\editorItems.ts", "TypeScript", -169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -179
"e:\enLearn\packages\gantt-main\store\src\helpers\filter.ts", "TypeScript", -42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -49
"e:\enLearn\packages\gantt-main\store\src\helpers\getCircularLinks.ts", "TypeScript", -38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -47
"e:\enLearn\packages\gantt-main\store\src\helpers\menuOptions.ts", "TypeScript", -180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -196
"e:\enLearn\packages\gantt-main\store\src\helpers\sort.ts", "TypeScript", -59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -67
"e:\enLearn\packages\gantt-main\store\src\helpers\toolbarButtons.ts", "TypeScript", -112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -118
"e:\enLearn\packages\gantt-main\store\src\index.ts", "TypeScript", -65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -70
"e:\enLearn\packages\gantt-main\store\src\links.ts", "TypeScript", -166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -189
"e:\enLearn\packages\gantt-main\store\src\normalizeDates.ts", "TypeScript", -97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -9, -109
"e:\enLearn\packages\gantt-main\store\src\package.ts", "TypeScript", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -10
